WO_NO,PART_CD,QTY,CHG_RSN
WO-2024-00366,PWT-003,2,예방
WO-2024-00367,CCP-004,1,수명도래
WO-2024-00367,SEL-001,1,수명도래
WO-2024-00373,HYD-002,1,손상
WO-2024-00377,LUB-005,1,손상
WO-2024-00386,SEL-009,3,수명도래
WO-2024-00386,SMP-003,1,손상
WO-2024-00396,LUB-004,1,수명도래
WO-2024-00397,SEL-004,2,손상
WO-2024-00397,SEL-006,3,수명도래
WO-2024-00400,SEL-009,2,수명도래
WO-2024-00406,INS-008,3,예방
WO-2024-00426,HYD-006,2,수명도래
WO-2024-00432,SEL-004,1,예방
WO-2024-00432,SEL-006,4,예방
WO-2024-00439,BRG-008,2,손상
WO-2024-00439,BRG-008,2,예방
WO-2024-00439,SEL-006,3,수명도래
WO-2024-00462,SEL-006,2,손상
WO-2024-00478,PWT-008,1,수명도래
WO-2024-00485,SEL-009,3,예방
WO-2024-00493,INS-007,3,손상
WO-2024-00495,BRG-014,1,수명도래
WO-2024-00504,CWP-002,1,수명도래
WO-2024-00505,CWP-004,1,수명도래
WO-2024-00508,SEL-006,2,손상
WO-2024-00531,SEL-003,1,수명도래
WO-2024-00537,BRG-004,1,예방
WO-2024-00541,HYD-002,2,손상
WO-2024-00544,CVP-004,1,손상
WO-2024-00544,CVP-004,1,손상
WO-2024-00558,SEL-001,3,예방
WO-2024-00559,CCP-002,1,수명도래
WO-2024-00566,ELC-005,1,손상
WO-2024-00568,INS-002,3,예방
WO-2024-00575,HYD-004,2,예방
WO-2024-00580,BRG-011,1,수명도래
WO-2024-00582,HYD-001,2,손상
WO-2024-00582,HYD-001,2,손상
WO-2024-00583,CWP-004,1,예방
WO-2024-00589,CWP-004,1,손상
WO-2024-00594,BFP-003,1,수명도래
WO-2024-00597,SEL-009,3,수명도래
WO-2024-00600,SEL-009,3,수명도래
WO-2024-00604,HYD-006,2,예방
WO-2024-00605,INS-008,2,수명도래
WO-2024-00606,WLD-005,8,손상
WO-2024-00608,SEL-006,2,수명도래
WO-2024-00611,ELC-004,1,손상
WO-2024-00617,BRG-001,1,손상
WO-2024-00622,SEL-006,4,예방
WO-2024-00622,SEL-006,1,예방
WO-2024-00634,SEL-003,4,손상
WO-2024-00635,SEL-006,2,예방
WO-2024-00636,CWP-002,1,수명도래
WO-2024-00639,SEL-009,4,예방
WO-2024-00641,SEL-006,2,수명도래
WO-2024-00642,CCP-002,2,예방
WO-2024-00647,BFP-001,1,손상
WO-2024-00650,SEL-004,1,수명도래
WO-2024-00651,ELC-005,2,수명도래
WO-2024-00661,SEL-004,1,예방
WO-2024-00662,SEL-002,3,손상
WO-2024-00662,SEL-010,1,예방
WO-2024-00663,LUB-002,1,수명도래
WO-2024-00663,PWT-008,2,예방
WO-2024-00667,CWP-002,2,손상
WO-2024-00669,INS-002,3,수명도래
WO-2024-00672,SEL-005,3,손상
WO-2024-00674,DCP-001,1,수명도래
WO-2024-00674,HYD-006,2,손상
WO-2024-00676,ELC-003,1,수명도래
WO-2024-00676,SEL-010,4,수명도래
WO-2024-00677,CVP-004,1,손상
WO-2024-00682,BRG-010,2,예방
WO-2024-00693,ROT-005,1,수명도래
WO-2024-00694,PWT-006,1,수명도래
WO-2024-00695,INS-008,3,예방
WO-2024-00697,CWP-002,1,예방
WO-2024-00698,PWT-006,1,예방
WO-2024-00706,SEL-006,3,수명도래
WO-2024-00712,CCP-004,1,손상
WO-2024-00714,SEL-010,4,손상
WO-2024-00716,PWT-004,1,손상
WO-2024-00722,CWP-004,1,예방
WO-2024-00724,BFP-005,1,예방
WO-2024-00726,HYD-006,1,손상
WO-2024-00731,BRG-005,1,손상
WO-2024-00734,CVP-002,2,예방
WO-2024-00735,SMP-003,2,손상
WO-2024-00735,SMP-003,2,손상
WO-2024-00739,SEL-010,3,예방
WO-2024-00746,CCP-003,2,예방
WO-2024-00749,SEL-009,4,예방
WO-2024-00750,SEL-009,4,예방
WO-2024-00758,SEL-009,4,수명도래
WO-2024-00761,SEL-006,2,수명도래
WO-2024-00771,SEL-006,2,예방
WO-2024-00773,SEL-001,4,수명도래
WO-2024-00776,INS-006,3,수명도래
WO-2024-00778,LUB-005,2,예방
WO-2024-00782,ELC-007,2,수명도래
WO-2024-00782,ELC-007,1,수명도래
WO-2024-00782,SEL-001,4,예방
WO-2024-00782,SEL-009,2,수명도래
WO-2024-00787,SEL-001,3,손상
WO-2024-00788,SEL-009,3,예방
WO-2024-00788,SEL-009,1,예방
WO-2024-00793,PWT-004,2,예방
WO-2024-00798,ROT-005,1,수명도래
WO-2024-00801,PWT-009,2,예방
WO-2024-00803,PWT-004,2,수명도래
WO-2024-00805,SEL-010,1,수명도래
WO-2024-00807,PWT-005,2,손상
WO-2024-00807,SEL-003,2,손상
WO-2024-00811,CWP-002,1,예방
WO-2024-00824,PWT-007,2,손상
WO-2024-00828,HYD-006,1,수명도래
WO-2024-00830,CCP-004,1,손상
WO-2024-00839,SEL-009,2,수명도래
WO-2024-00841,SEL-010,3,수명도래
WO-2024-00846,HYD-001,1,예방
WO-2024-00847,LUB-005,2,예방
WO-2024-00854,SEL-001,2,손상
WO-2024-00855,SEL-006,3,손상
WO-2024-00859,PWT-007,2,손상
WO-2024-00861,CCP-004,2,손상
WO-2024-00864,SEL-006,3,손상
WO-2024-00871,SEL-009,3,예방
WO-2024-00879,HYD-006,2,예방
WO-2024-00879,SEL-010,1,수명도래
WO-2024-00880,CCP-004,2,수명도래
WO-2024-00887,SEL-009,3,수명도래
WO-2024-00889,SEL-005,4,수명도래
WO-2024-00893,SEL-002,3,예방
WO-2024-00893,SEL-009,4,예방
WO-2024-00894,BRG-011,1,수명도래
WO-2024-00897,CWP-001,1,수명도래
WO-2024-00898,SEL-001,3,수명도래
WO-2024-00903,BRG-007,2,수명도래
WO-2024-00912,PWT-004,1,손상
WO-2024-00913,BFP-001,2,손상
WO-2024-00913,CWP-002,1,손상
WO-2024-00916,SEL-006,2,수명도래
WO-2024-00916,SEL-009,1,손상
WO-2024-00958,CWP-003,2,예방
WO-2024-00968,PWT-005,1,예방
WO-2024-00977,SEL-003,2,수명도래
WO-2024-00986,SEL-006,4,손상
WO-2024-00990,PWT-006,1,수명도래
WO-2024-00993,INS-002,2,예방
WO-2024-01006,CWP-002,2,예방
WO-2024-01008,CCP-003,2,손상
WO-2024-01008,SEL-001,1,손상
WO-2024-01013,SEL-004,4,수명도래
WO-2024-01021,SEL-006,3,수명도래
WO-2024-01021,SMP-002,1,손상
WO-2024-01022,DCP-002,2,수명도래
WO-2024-01026,SEL-004,1,예방
WO-2024-01040,BRG-007,2,수명도래
WO-2024-01048,PWT-003,1,손상
WO-2024-01053,SEL-001,3,손상
WO-2024-01059,SEL-006,3,손상
WO-2024-01064,BRG-009,2,예방
WO-2024-01065,SEL-002,1,예방
WO-2024-01065,SEL-010,4,손상
WO-2024-01071,CWP-002,2,손상
WO-2024-01078,LUB-001,2,예방
WO-2024-01079,SEL-010,1,수명도래
WO-2024-01082,SEL-010,1,수명도래
WO-2024-01083,ELC-003,2,수명도래
WO-2024-01085,SEL-006,1,예방
WO-2024-01089,HST-002,1,수명도래
WO-2024-01089,PWT-008,1,예방
WO-2024-01090,BRG-009,2,예방
WO-2024-01094,SEL-009,3,예방
WO-2024-01095,PWT-006,1,수명도래
WO-2024-01106,BRG-010,2,손상
WO-2024-01106,INS-008,1,예방
WO-2024-01108,SEL-001,2,손상
WO-2024-01108,SEL-002,1,손상
WO-2024-01112,CWP-002,2,예방
WO-2024-01116,ELC-005,1,예방
WO-2024-01117,SEL-001,3,수명도래
WO-2024-01117,SEL-001,4,손상
WO-2024-01119,PWT-004,2,수명도래
WO-2024-01122,SMP-003,2,수명도래
WO-2024-01126,SEL-003,1,손상
WO-2024-01130,HYD-002,1,수명도래
WO-2024-01131,SEL-005,3,예방
WO-2024-01134,BRG-014,2,손상
WO-2024-01142,SEL-009,1,예방
WO-2024-01144,LUB-005,2,손상
WO-2024-01145,SEL-002,1,수명도래
WO-2024-01160,ELC-005,1,손상
WO-2024-01163,PWT-005,1,수명도래
WO-2024-01169,LUB-002,1,예방
WO-2024-01177,ELC-003,2,손상
WO-2024-01178,INS-006,1,손상
WO-2024-01181,SEL-009,4,예방
WO-2024-01184,SEL-002,1,예방
WO-2024-01187,SEL-002,2,손상
WO-2024-01188,SEL-002,4,예방
WO-2024-01193,HYD-006,1,예방
WO-2024-01198,LUB-005,1,손상
WO-2024-01202,CWP-002,2,손상
WO-2024-01205,BRG-003,1,손상
WO-2024-01214,SEL-003,3,예방
WO-2024-01237,BFP-005,2,수명도래
WO-2024-01238,CWP-001,1,수명도래
WO-2024-01244,INS-004,2,손상
WO-2024-01244,SEL-002,4,손상
WO-2024-01244,SEL-009,1,수명도래
WO-2024-01245,SMP-003,2,손상
WO-2024-01258,SEL-004,2,수명도래
WO-2024-01276,SEL-001,1,수명도래
WO-2024-01277,HYD-004,1,손상
WO-2024-01279,SEL-003,1,수명도래
WO-2024-01279,SEL-009,4,수명도래
WO-2024-01284,HYD-006,1,예방
WO-2024-01284,HYD-006,2,예방
WO-2024-01289,INS-007,3,손상
WO-2024-01290,CCP-002,1,손상
WO-2024-01291,BRG-014,2,예방
WO-2024-01299,SEL-003,2,수명도래
WO-2024-01299,SEL-003,4,수명도래
WO-2024-01301,SMP-002,1,수명도래
WO-2024-01303,PWT-005,1,수명도래
WO-2024-01323,SEL-009,4,손상
WO-2024-01329,HYD-006,1,예방
WO-2024-01329,HYD-006,1,예방
WO-2024-01346,SEL-006,1,손상
WO-2024-01347,BRG-008,2,수명도래
WO-2024-01351,HYD-001,2,수명도래
WO-2024-01352,SEL-003,2,수명도래
WO-2024-01354,DCP-002,1,손상
WO-2024-01357,WLD-005,5,손상
WO-2024-01364,HYD-006,1,수명도래
WO-2024-01382,SEL-005,1,수명도래
WO-2024-01393,LUB-004,2,수명도래
WO-2024-01395,SEL-003,3,예방
WO-2024-01397,ELC-007,2,손상
WO-2024-01404,SEL-008,3,손상
WO-2024-01407,SMP-002,2,손상
WO-2024-01417,INS-003,2,손상
WO-2024-01425,SEL-002,3,손상
WO-2024-01428,ELC-005,1,수명도래
WO-2024-01435,SEL-004,2,수명도래
WO-2024-01441,ELC-005,1,손상
WO-2024-01490,HYD-006,1,수명도래
WO-2024-01494,SEL-001,1,예방
WO-2024-01501,SEL-009,1,손상
WO-2024-01544,PWT-004,2,수명도래
WO-2024-01545,CWP-002,1,손상
WO-2024-01547,BRG-014,1,손상
WO-2024-01548,BRG-001,1,예방
WO-2024-01551,PWT-007,2,손상
WO-2024-01552,SEL-005,2,예방
WO-2024-01553,DCP-002,1,예방
WO-2024-01555,LUB-004,2,손상
WO-2024-01571,CWP-002,1,수명도래
WO-2024-01581,SEL-009,2,손상
WO-2024-01583,ELC-005,2,손상
WO-2024-01585,HST-002,1,수명도래
WO-2024-01585,HST-002,2,손상
WO-2024-01593,LUB-005,2,손상
WO-2024-01602,SEL-003,3,예방
WO-2024-01603,ELC-006,2,수명도래
WO-2024-01629,SEL-003,1,예방
WO-2024-01631,PWT-003,2,손상
WO-2024-01638,SEL-009,3,예방
WO-2024-01656,BFP-003,1,수명도래
WO-2024-01663,PWT-004,2,수명도래
WO-2024-01664,INS-004,2,수명도래
WO-2024-01668,BFP-001,1,수명도래
WO-2024-01672,ELC-004,2,손상
WO-2024-01675,SEL-005,1,손상
WO-2024-01676,ELC-006,2,예방
WO-2024-01682,INS-003,2,수명도래
WO-2024-01688,PWT-004,1,수명도래
WO-2024-01690,SEL-001,1,손상
WO-2024-01691,CWP-004,1,예방
WO-2024-01704,ELC-008,1,손상
WO-2024-01708,LUB-005,1,수명도래
WO-2024-01723,HYD-003,2,손상
WO-2024-01728,CWP-001,1,손상
WO-2024-01736,SEL-006,2,손상
WO-2024-01738,INS-004,1,예방
WO-2024-01745,CWP-004,2,수명도래
WO-2024-01757,CWP-002,2,예방
WO-2024-01758,LUB-003,2,수명도래
WO-2024-01759,BRG-001,2,손상
WO-2024-01759,HYD-004,1,수명도래
WO-2024-01793,ELC-004,1,손상
WO-2024-01793,PWT-008,1,손상
WO-2024-01803,BRG-008,1,손상
WO-2024-01831,BFP-003,2,수명도래
WO-2024-01842,PWT-003,2,손상
WO-2024-01849,ELC-007,2,수명도래
WO-2024-01850,SEL-001,4,수명도래
WO-2024-01853,SEL-001,3,수명도래
WO-2024-01853,SEL-009,3,예방
WO-2024-01871,CWP-002,2,수명도래
WO-2024-01873,LUB-003,1,수명도래
WO-2024-01881,BRG-006,2,손상
WO-2024-01889,DCP-002,1,수명도래
WO-2024-01890,SEL-004,4,예방
WO-2024-01898,SEL-003,2,수명도래
WO-2024-01899,ELC-006,1,수명도래
WO-2024-01909,PWT-008,1,손상
WO-2024-01915,INS-008,3,예방
WO-2024-01923,INS-002,2,수명도래
WO-2024-01933,ELC-006,1,손상
WO-2024-01935,SEL-003,2,손상
WO-2024-01939,SEL-006,1,손상
WO-2024-01945,SEL-006,3,예방
WO-2024-01952,BRG-014,2,수명도래
WO-2024-01953,PWT-005,2,손상
WO-2024-01958,SEL-005,4,손상
WO-2024-01962,SEL-005,2,수명도래
WO-2024-01976,SEL-008,4,손상
WO-2024-01978,ROT-005,1,손상
WO-2024-01979,BRG-001,2,예방
WO-2024-01996,LUB-005,1,수명도래
WO-2024-02008,SEL-002,4,예방
WO-2024-02012,HYD-002,1,수명도래
WO-2024-02013,BRG-003,2,수명도래
WO-2024-02019,SEL-005,3,예방
WO-2024-02026,HYD-003,2,수명도래
WO-2024-02026,RLL-002,2,예방
WO-2024-02033,SEL-005,4,수명도래
WO-2024-02037,INS-003,1,손상
WO-2024-02039,CWP-002,2,손상
WO-2024-02049,LUB-005,2,예방
WO-2024-02063,PWT-008,2,수명도래
WO-2024-02064,PWT-001,2,손상
WO-2024-02065,BFP-001,2,예방
WO-2024-02080,BRG-003,1,수명도래
WO-2024-02082,SEL-003,3,예방
WO-2024-02089,CVP-002,2,손상
WO-2024-02090,BRG-004,2,손상
WO-2024-02092,INS-003,1,손상
WO-2024-02096,ELC-003,1,손상
WO-2024-02097,HYD-001,2,수명도래
WO-2024-02099,BRG-010,1,예방
WO-2024-02099,INS-004,3,손상
WO-2024-02100,INS-002,1,예방
WO-2024-02100,SEL-010,1,수명도래
WO-2024-02105,INS-006,3,예방
WO-2024-02108,BRG-010,2,손상
WO-2024-02111,ELC-003,2,손상
WO-2024-02112,PWT-007,1,손상
