MEAS_DT,COIL_ID,SEQ_NO,SPD,LEN,PWR,SET-FRQ,SET-DTY,SET-PWR,GATE-MS
2024-01-03 10:29:53.014,C2400002,2,250,241.2,1713,1000,100,83,1670
2024-01-03 10:29:55.862,C2400002,3,250,241.1,1695,1000,100,82,1153
2024-01-03 10:29:59.110,C2400002,4,250,241.2,1717,1000,100,83,1670
2024-01-03 10:30:01.850,C2400002,5,250,241.1,1698,1000,100,82,1154
2024-01-03 10:30:05.204,C2400002,6,250,241.2,1719,1000,100,83,1670
2024-01-03 10:30:11.204,C2400002,7,250,241.1,1695,1000,100,82,1153
2024-01-03 10:30:14.448,C2400002,8,250,241.2,1721,1000,100,83,1670
2024-01-03 10:30:17.206,C2400002,9,250,241.1,1700,1000,100,82,1154
2024-01-03 10:30:20.388,C2400002,10,250,241.2,1723,1000,100,83,1670
2024-01-03 10:30:23.118,C2400002,11,250,241.1,1702,1000,100,82,1154
2024-01-03 10:30:26.428,C2400002,12,250,241.2,1724,1000,100,83,1670
2024-01-03 10:30:31.476,C2400002,13,30,19.4,692,1000,100,38,650
2024-01-03 10:30:33.206,C2400002,14,30,19.4,691,1000,100,38,650
2024-01-03 10:30:36.094,C2400002,15,30,19.4,692,1000,100,38,650
2024-01-03 10:30:39.418,C2400002,16,30,19.4,692,1000,100,38,650
2024-01-03 10:30:41.178,C2400002,17,30,19.4,691,1000,100,38,650
2024-01-03 10:30:42.904,C2400002,18,30,19.4,691,1000,100,38,650
2024-01-03 10:31:03.906,C2400002,19,250,241.1,1714,1000,100,83,1670
2024-01-03 10:31:06.570,C2400002,20,250,241.2,1698,1000,100,82,1154
2024-01-03 10:31:10.040,C2400002,21,250,241.1,1721,1000,100,83,1670
2024-01-03 10:31:12.680,C2400002,22,250,241.2,1700,1000,100,82,1154
2024-01-03 10:31:16.124,C2400002,23,250,241.1,1723,1000,100,83,1670
2024-01-03 10:31:18.864,C2400002,24,250,241.2,1702,1000,100,82,1154
2024-01-03 10:31:25.466,C2400002,25,250,241.1,1721,1000,100,83,1670
2024-01-03 10:31:28.088,C2400002,26,250,241.2,1702,1000,100,82,1154
2024-01-03 10:31:31.528,C2400002,27,250,241.1,1724,1000,100,83,1670
2024-01-03 10:31:34.134,C2400002,28,250,241.2,1703,1000,100,82,1154
2024-01-03 10:31:37.694,C2400002,29,250,241.1,1726,1000,100,83,1670
2024-01-03 10:31:40.268,C2400002,30,250,241.2,1704,1000,100,82,1154
2024-01-03 10:31:45.040,C2400002,31,30,19.4,692,1000,100,38,650
2024-01-03 10:31:46.582,C2400002,32,30,19.4,691,1000,100,38,650
2024-01-03 10:31:49.624,C2400002,33,30,19.4,692,1000,100,38,650
2024-01-03 10:31:51.428,C2400002,34,30,19.4,692,1000,100,38,650
2024-01-03 10:31:54.960,C2400002,35,30,19.4,692,1000,100,38,650
2024-01-03 10:31:56.684,C2400002,36,30,19.4,692,1000,100,38,650
2024-01-03 10:31:58.360,C2400002,37,30,19.4,692,1000,100,38,650
2024-01-03 10:32:01.364,C2400002,38,30,19.4,692,1000,100,38,650
2024-01-03 10:32:02.862,C2400002,39,30,19.4,692,1000,100,38,650
2024-01-03 10:59:17.756,C2400003,1,250,241.1,1688,1000,100,82,1154
2024-01-03 10:59:20.948,C2400003,2,250,241.2,1713,1000,100,83,1670
2024-01-03 10:59:23.736,C2400003,3,250,241.1,1695,1000,100,82,1153
2024-01-03 10:59:26.962,C2400003,4,250,241.2,1717,1000,100,83,1670
2024-01-03 10:59:29.736,C2400003,5,250,241.1,1698,1000,100,82,1154
2024-01-03 10:59:33.008,C2400003,6,250,241.2,1719,1000,100,83,1670
2024-01-03 10:59:38.944,C2400003,7,250,241.1,1695,1000,100,82,1153
2024-01-03 10:59:42.146,C2400003,8,250,241.2,1719,1000,100,83,1670
2024-01-03 10:59:44.956,C2400003,9,250,241.1,1699,1000,100,82,1154
2024-01-03 10:59:48.180,C2400003,10,250,241.2,1722,1000,100,83,1670
2024-01-03 10:59:51.074,C2400003,11,250,241.1,1700,1000,100,82,1154
2024-01-03 10:59:54.280,C2400003,12,250,241.2,1723,1000,100,83,1670
2024-01-03 10:59:59.072,C2400003,13,30,19.4,692,1000,100,38,650
2024-01-03 11:00:00.756,C2400003,14,30,19.4,691,1000,100,38,650
2024-01-03 11:00:03.696,C2400003,15,30,19.4,692,1000,100,38,650
2024-01-03 11:00:07.100,C2400003,16,30,19.4,691,1000,100,38,650
2024-01-03 11:00:08.866,C2400003,17,30,19.4,691,1000,100,38,650
2024-01-03 11:00:10.576,C2400003,18,30,19.4,691,1000,100,38,650
2024-01-03 11:00:31.532,C2400003,19,250,241.1,1714,1000,100,83,1670
2024-01-03 11:00:34.148,C2400003,20,250,241.2,1698,1000,100,82,1154
2024-01-03 11:00:37.598,C2400003,21,250,241.1,1721,1000,100,83,1670
2024-01-03 11:00:40.238,C2400003,22,250,241.2,1700,1000,100,82,1154
2024-01-03 11:00:43.690,C2400003,23,250,241.1,1723,1000,100,83,1670
2024-01-03 11:00:46.352,C2400003,24,250,241.2,1702,1000,100,82,1154
2024-01-03 11:00:53.070,C2400003,25,250,241.1,1721,1000,100,83,1670
2024-01-03 11:00:55.892,C2400003,26,250,241.2,1702,1000,100,82,1154
2024-01-03 11:00:59.390,C2400003,27,250,241.1,1723,1000,100,83,1670
2024-01-03 11:01:02.040,C2400003,28,250,241.2,1703,1000,100,82,1154
2024-01-03 11:01:05.538,C2400003,29,250,241.1,1726,1000,100,83,1670
2024-01-03 11:01:08.162,C2400003,30,250,241.2,1704,1000,100,82,1154
2024-01-03 11:01:12.602,C2400003,31,30,19.4,692,1000,100,38,650
2024-01-03 11:01:14.154,C2400003,32,30,19.4,691,1000,100,38,650
2024-01-03 11:01:17.196,C2400003,33,30,19.4,692,1000,100,38,650
2024-01-03 11:01:18.968,C2400003,34,30,19.4,692,1000,100,38,650
2024-01-03 11:01:22.416,C2400003,35,30,19.4,692,1000,100,38,650
2024-01-03 11:01:24.114,C2400003,36,30,19.4,692,1000,100,38,650
2024-01-03 11:01:25.828,C2400003,37,30,19.4,692,1000,100,38,650
2024-01-03 11:01:28.826,C2400003,38,30,19.4,692,1000,100,38,650
2024-01-03 11:01:30.348,C2400003,39,30,19.4,692,1000,100,38,650
2024-01-03 11:07:13.665,C2400004,1,250,241.1,1688,1000,100,82,1154
2024-01-03 11:07:16.893,C2400004,2,250,241.2,1713,1000,100,83,1670
2024-01-03 11:07:19.747,C2400004,3,250,241.1,1695,1000,100,82,1153
2024-01-03 11:07:22.929,C2400004,4,250,241.2,1717,1000,100,83,1670
2024-01-03 11:07:25.761,C2400004,5,250,241.1,1698,1000,100,82,1154
2024-01-03 11:07:29.059,C2400004,6,250,241.2,1719,1000,100,83,1670
2024-01-03 11:07:35.195,C2400004,7,250,241.1,1697,1000,100,82,1153
2024-01-03 11:07:38.535,C2400004,8,250,241.2,1719,1000,100,83,1670
2024-01-03 11:07:41.311,C2400004,9,250,241.1,1699,1000,100,82,1154
2024-01-03 11:07:44.591,C2400004,10,250,241.2,1722,1000,100,83,1670
2024-01-03 11:07:47.447,C2400004,11,250,241.1,1700,1000,100,82,1154
2024-01-03 11:07:50.673,C2400004,12,250,241.2,1724,1000,100,83,1670
2024-01-03 11:07:55.349,C2400004,13,30,19.4,692,1000,100,38,650
2024-01-03 11:07:57.057,C2400004,14,30,19.4,691,1000,100,38,650
2024-01-03 11:07:59.939,C2400004,15,30,19.4,692,1000,100,38,650
2024-01-03 11:08:03.291,C2400004,16,30,19.4,692,1000,100,38,650
2024-01-03 11:08:05.075,C2400004,17,30,19.4,691,1000,100,38,650
2024-01-03 11:08:06.847,C2400004,18,30,19.4,691,1000,100,38,650
2024-01-03 11:08:27.937,C2400004,19,250,241.1,1714,1000,100,83,1670
2024-01-03 11:08:30.533,C2400004,20,250,241.2,1698,1000,100,82,1154
2024-01-03 11:08:34.003,C2400004,21,250,241.1,1721,1000,100,83,1670
2024-01-03 11:08:36.623,C2400004,22,250,241.2,1700,1000,100,82,1154
2024-01-03 11:08:40.109,C2400004,23,250,241.1,1723,1000,100,83,1670
2024-01-03 11:08:42.789,C2400004,24,250,241.2,1702,1000,100,82,1154
2024-01-03 11:08:49.545,C2400004,25,250,241.1,1721,1000,100,83,1670
2024-01-03 11:08:52.185,C2400004,26,250,241.2,1702,1000,100,82,1154
2024-01-03 11:08:55.641,C2400004,27,250,241.1,1724,1000,100,83,1670
2024-01-03 11:08:58.199,C2400004,28,250,241.2,1703,1000,100,82,1154
2024-01-03 11:09:01.745,C2400004,29,250,241.1,1726,1000,100,83,1670
2024-01-03 11:09:04.338,C2400004,30,250,241.2,1704,1000,100,82,1154
2024-01-03 11:09:09.110,C2400004,31,30,19.4,692,1000,100,38,650
2024-01-03 11:09:10.648,C2400004,32,30,19.4,691,1000,100,38,650
2024-01-03 11:09:13.706,C2400004,33,30,19.4,692,1000,100,38,650
2024-01-03 11:09:15.444,C2400004,34,30,19.4,692,1000,100,38,650
2024-01-03 11:09:18.908,C2400004,35,30,19.4,692,1000,100,38,650
2024-01-03 11:09:20.604,C2400004,36,30,19.4,692,1000,100,38,650
2024-01-03 11:09:22.336,C2400004,37,30,19.4,692,1000,100,38,650
2024-01-03 11:09:25.330,C2400004,38,30,19.4,692,1000,100,38,650
2024-01-03 11:09:26.832,C2400004,39,30,19.4,692,1000,100,38,650
2024-01-03 11:48:07.014,C2400005,1,250,241.1,1695,1000,100,82,1154
2024-01-03 11:48:10.412,C2400005,2,250,241.2,1720,1000,100,83,1670
2024-01-03 11:48:13.262,C2400005,3,250,241.1,1701,1000,100,82,1153
2024-01-03 11:48:16.474,C2400005,4,250,241.2,1725,1000,100,83,1670
2024-01-03 11:48:19.238,C2400005,5,250,241.1,1704,1000,100,82,1154
2024-01-03 11:48:22.524,C2400005,6,250,241.2,1728,1000,100,83,1670
2024-01-03 11:48:28.334,C2400005,7,250,241.1,1703,1000,100,82,1153
2024-01-03 11:48:31.548,C2400005,8,250,241.2,1727,1000,100,83,1670
2024-01-03 11:48:34.338,C2400005,9,250,241.1,1707,1000,100,82,1154
2024-01-03 11:48:37.586,C2400005,10,250,241.2,1729,1000,100,83,1670
2024-01-03 11:48:40.408,C2400005,11,250,241.1,1708,1000,100,82,1154
2024-01-03 11:48:43.786,C2400005,12,250,241.2,1730,1000,100,83,1670
2024-01-03 11:48:48.168,C2400005,13,30,19.4,694,1000,100,38,650
2024-01-03 11:48:49.830,C2400005,14,30,19.4,694,1000,100,38,650
2024-01-03 11:48:52.802,C2400005,15,30,19.4,694,1000,100,38,650
2024-01-03 11:48:56.188,C2400005,16,30,19.4,694,1000,100,38,650
2024-01-03 11:48:57.836,C2400005,17,30,19.4,694,1000,100,38,650
2024-01-03 11:48:59.528,C2400005,18,30,19.4,694,1000,100,38,650
2024-01-03 11:49:20.104,C2400005,19,250,241.1,1722,1000,100,83,1670
2024-01-03 11:49:22.786,C2400005,20,250,241.2,1704,1000,100,82,1154
2024-01-03 11:49:26.188,C2400005,21,250,241.1,1727,1000,100,83,1670
2024-01-03 11:49:28.854,C2400005,22,250,241.2,1707,1000,100,82,1154
2024-01-03 11:49:32.312,C2400005,23,250,241.1,1729,1000,100,83,1670
2024-01-03 11:49:34.972,C2400005,24,250,241.2,1708,1000,100,82,1154
2024-01-03 11:49:41.346,C2400005,25,250,241.1,1727,1000,100,83,1670
2024-01-03 11:49:43.984,C2400005,26,250,241.2,1708,1000,100,82,1154
2024-01-03 11:49:47.438,C2400005,27,250,241.1,1730,1000,100,83,1670
2024-01-03 11:49:50.210,C2400005,28,250,241.2,1709,1000,100,82,1154
2024-01-03 11:49:53.774,C2400005,29,250,241.1,1732,1000,100,83,1670
2024-01-03 11:49:56.378,C2400005,30,250,241.2,1710,1000,100,82,1154
2024-01-03 11:50:00.702,C2400005,31,30,19.4,694,1000,100,38,650
2024-01-03 11:50:02.156,C2400005,32,30,19.4,694,1000,100,38,650
2024-01-03 11:50:05.232,C2400005,33,30,19.4,694,1000,100,38,650
2024-01-03 11:50:06.970,C2400005,34,30,19.4,694,1000,100,38,650
2024-01-03 11:50:10.420,C2400005,35,30,19.4,694,1000,100,38,650
2024-01-03 11:50:12.152,C2400005,36,30,19.4,694,1000,100,38,650
2024-01-03 11:50:13.868,C2400005,37,30,19.4,694,1000,100,38,650
2024-01-03 11:50:16.840,C2400005,38,30,19.4,694,1000,100,38,650
2024-01-03 11:50:18.380,C2400005,39,30,19.4,694,1000,100,38,650
2024-01-03 12:28:58.561,C2400006,1,250,241.1,1688,1000,100,82,1154
2024-01-03 12:29:01.883,C2400006,2,250,241.2,1712,1000,100,83,1670
2024-01-03 12:29:04.743,C2400006,3,250,241.1,1694,1000,100,82,1153
2024-01-03 12:29:08.011,C2400006,4,250,241.2,1717,1000,100,83,1670
2024-01-03 12:29:10.883,C2400006,5,250,241.1,1697,1000,100,82,1154
2024-01-03 12:29:14.217,C2400006,6,250,241.2,1719,1000,100,83,1670
2024-01-03 12:29:20.281,C2400006,7,250,241.1,1695,1000,100,82,1153
2024-01-03 12:29:23.497,C2400006,8,250,241.2,1719,1000,100,83,1670
2024-01-03 12:29:26.357,C2400006,9,250,241.1,1699,1000,100,82,1154
2024-01-03 12:29:29.555,C2400006,10,250,241.2,1722,1000,100,83,1670
2024-01-03 12:29:32.329,C2400006,11,250,241.1,1700,1000,100,82,1154
2024-01-03 12:29:35.597,C2400006,12,250,241.2,1723,1000,100,83,1670
2024-01-03 12:29:40.457,C2400006,13,30,19.4,692,1000,100,38,650
2024-01-03 12:29:42.099,C2400006,14,30,19.4,691,1000,100,38,650
2024-01-03 12:29:45.101,C2400006,15,30,19.4,692,1000,100,38,650
2024-01-03 12:29:48.487,C2400006,16,30,19.4,691,1000,100,38,650
2024-01-03 12:29:50.253,C2400006,17,30,19.4,691,1000,100,38,650
2024-01-03 12:29:51.939,C2400006,18,30,19.4,691,1000,100,38,650
2024-01-03 12:30:12.845,C2400006,19,250,241.1,1714,1000,100,83,1670
2024-01-03 12:30:15.461,C2400006,20,250,241.2,1697,1000,100,82,1154
2024-01-03 12:30:18.873,C2400006,21,250,241.1,1721,1000,100,83,1670
2024-01-03 12:30:21.567,C2400006,22,250,241.2,1700,1000,100,82,1154
2024-01-03 12:30:25.023,C2400006,23,250,241.1,1722,1000,100,83,1670
2024-01-03 12:30:27.679,C2400006,24,250,241.2,1702,1000,100,82,1154
2024-01-03 12:30:34.287,C2400006,25,250,241.1,1721,1000,100,83,1670
2024-01-03 12:30:36.951,C2400006,26,250,241.2,1702,1000,100,82,1154
2024-01-03 12:30:40.419,C2400006,27,250,241.1,1724,1000,100,83,1670
2024-01-03 12:30:43.049,C2400006,28,250,241.2,1703,1000,100,82,1154
2024-01-03 12:30:46.543,C2400006,29,250,241.1,1724,1000,100,83,1670
2024-01-03 12:30:49.151,C2400006,30,250,241.2,1704,1000,100,82,1154
2024-01-03 12:30:53.875,C2400006,31,30,19.4,692,1000,100,38,650
2024-01-03 12:30:55.559,C2400006,32,30,19.4,691,1000,100,38,650
2024-01-03 12:30:58.595,C2400006,33,30,19.4,692,1000,100,38,650
2024-01-03 12:31:00.365,C2400006,34,30,19.4,692,1000,100,38,650
2024-01-03 12:31:03.835,C2400006,35,30,19.4,692,1000,100,38,650
2024-01-03 12:31:05.515,C2400006,36,30,19.4,692,1000,100,38,650
2024-01-03 12:31:07.253,C2400006,37,30,19.4,692,1000,100,38,650
2024-01-03 12:31:10.255,C2400006,38,30,19.4,692,1000,100,38,650
2024-01-03 12:31:11.753,C2400006,39,30,19.4,692,1000,100,38,650
2024-01-03 13:25:19.215,C2400007,1,250,241.1,1687,1000,100,82,1154
2024-01-03 13:25:22.425,C2400007,2,250,241.2,1712,1000,100,83,1670
2024-01-03 13:25:25.185,C2400007,3,250,241.1,1695,1000,100,82,1153
2024-01-03 13:25:28.459,C2400007,4,250,241.2,1717,1000,100,83,1670
2024-01-03 13:25:31.295,C2400007,5,250,241.1,1697,1000,100,82,1154
2024-01-03 13:25:34.535,C2400007,6,250,241.2,1719,1000,100,83,1670
2024-01-03 13:25:40.433,C2400007,7,250,241.1,1695,1000,100,82,1153
2024-01-03 13:25:43.731,C2400007,8,250,241.2,1719,1000,100,83,1670
2024-01-03 13:25:46.463,C2400007,9,250,241.1,1699,1000,100,82,1154
2024-01-03 13:25:49.733,C2400007,10,250,241.2,1722,1000,100,83,1670
2024-01-03 13:25:52.559,C2400007,11,250,241.1,1700,1000,100,82,1154
2024-01-03 13:25:55.805,C2400007,12,250,241.2,1723,1000,100,83,1670
2024-01-03 13:26:00.397,C2400007,13,30,19.4,692,1000,100,38,650
2024-01-03 13:26:02.113,C2400007,14,30,19.4,691,1000,100,38,650
2024-01-03 13:26:05.041,C2400007,15,30,19.4,691,1000,100,38,650
2024-01-03 13:26:08.425,C2400007,16,30,19.4,691,1000,100,38,650
2024-01-03 13:26:10.105,C2400007,17,30,19.4,691,1000,100,38,650
2024-01-03 13:26:11.833,C2400007,18,30,19.4,691,1000,100,38,650
2024-01-03 13:26:32.915,C2400007,19,250,241.1,1714,1000,100,83,1670
2024-01-03 13:26:35.485,C2400007,20,250,241.2,1697,1000,100,82,1154
2024-01-03 13:26:38.935,C2400007,21,250,241.1,1719,1000,100,83,1670
2024-01-03 13:26:41.599,C2400007,22,250,241.2,1700,1000,100,82,1154
2024-01-03 13:26:45.043,C2400007,23,250,241.1,1722,1000,100,83,1670
2024-01-03 13:26:47.741,C2400007,24,250,241.2,1702,1000,100,82,1154
2024-01-03 13:26:54.401,C2400007,25,250,241.1,1721,1000,100,83,1670
2024-01-03 13:26:57.149,C2400007,26,250,241.2,1700,1000,100,82,1154
2024-01-03 13:27:00.653,C2400007,27,250,241.1,1723,1000,100,83,1670
2024-01-03 13:27:03.327,C2400007,28,250,241.2,1703,1000,100,82,1154
2024-01-03 13:27:06.865,C2400007,29,250,241.1,1724,1000,100,83,1670
2024-01-03 13:27:09.503,C2400007,30,250,241.2,1704,1000,100,82,1154
2024-01-03 13:27:13.907,C2400007,31,30,19.4,692,1000,100,38,650
2024-01-03 13:27:15.407,C2400007,32,30,19.4,691,1000,100,38,650
2024-01-03 13:27:18.461,C2400007,33,30,19.4,692,1000,100,38,650
2024-01-03 13:27:20.227,C2400007,34,30,19.4,691,1000,100,38,650
2024-01-03 13:27:23.675,C2400007,35,30,19.4,692,1000,100,38,650
2024-01-03 13:27:25.381,C2400007,36,30,19.4,692,1000,100,38,650
2024-01-03 13:27:27.101,C2400007,37,30,19.4,691,1000,100,38,650
2024-01-03 13:27:30.087,C2400007,38,30,19.4,692,1000,100,38,650
2024-01-03 13:27:31.609,C2400007,39,30,19.4,691,1000,100,38,650
2024-01-03 13:28:18.327,C2400008,1,250,241.1,1692,1000,100,82,1154
2024-01-03 13:28:21.473,C2400008,2,250,241.2,1717,1000,100,83,1670
2024-01-03 13:28:24.273,C2400008,3,250,241.1,1698,1000,100,82,1153
2024-01-03 13:28:27.593,C2400008,4,250,241.2,1721,1000,100,83,1670
2024-01-03 13:28:30.393,C2400008,5,250,241.1,1700,1000,100,82,1154
2024-01-03 13:28:33.605,C2400008,6,250,241.2,1723,1000,100,83,1670
2024-01-03 13:28:39.611,C2400008,7,250,241.1,1698,1000,100,82,1153
2024-01-03 13:28:42.841,C2400008,8,250,241.2,1722,1000,100,83,1670
2024-01-03 13:28:45.707,C2400008,9,250,241.1,1702,1000,100,82,1154
2024-01-03 13:28:49.055,C2400008,10,250,241.2,1724,1000,100,83,1670
2024-01-03 13:28:51.903,C2400008,11,250,241.1,1703,1000,100,82,1154
2024-01-03 13:28:55.111,C2400008,12,250,241.2,1726,1000,100,83,1670
2024-01-03 13:28:59.689,C2400008,13,30,19.4,692,1000,100,38,650
2024-01-03 13:29:01.395,C2400008,14,30,19.4,691,1000,100,38,650
2024-01-03 13:29:04.327,C2400008,15,30,19.4,692,1000,100,38,650
2024-01-03 13:29:07.761,C2400008,16,30,19.4,692,1000,100,38,650
2024-01-03 13:29:09.499,C2400008,17,30,19.4,692,1000,100,38,650
2024-01-03 13:29:11.189,C2400008,18,30,19.4,692,1000,100,38,650
2024-01-03 13:29:32.083,C2400008,19,250,241.1,1716,1000,100,83,1670
2024-01-03 13:29:34.701,C2400008,20,250,241.2,1698,1000,100,82,1154
2024-01-03 13:29:38.223,C2400008,21,250,241.1,1722,1000,100,83,1670
2024-01-03 13:29:41.035,C2400008,22,250,241.2,1700,1000,100,82,1154
2024-01-03 13:29:44.561,C2400008,23,250,241.1,1723,1000,100,83,1670
2024-01-03 13:29:47.199,C2400008,24,250,241.2,1703,1000,100,82,1154
2024-01-03 13:29:53.911,C2400008,25,250,241.1,1722,1000,100,83,1670
2024-01-03 13:29:56.531,C2400008,26,250,241.2,1703,1000,100,82,1154
2024-01-03 13:30:00.069,C2400008,27,250,241.1,1724,1000,100,83,1670
2024-01-03 13:30:02.687,C2400008,28,250,241.2,1704,1000,100,82,1154
2024-01-03 13:30:06.205,C2400008,29,250,241.1,1726,1000,100,83,1670
2024-01-03 13:30:08.921,C2400008,30,250,241.2,1704,1000,100,82,1154
2024-01-03 13:30:13.647,C2400008,31,30,19.4,692,1000,100,38,650
2024-01-03 13:30:15.185,C2400008,32,30,19.4,691,1000,100,38,650
2024-01-03 13:30:18.247,C2400008,33,30,19.4,692,1000,100,38,650
2024-01-03 13:30:20.011,C2400008,34,30,19.4,692,1000,100,38,650
2024-01-03 13:30:23.445,C2400008,35,30,19.4,692,1000,100,38,650
2024-01-03 13:30:25.185,C2400008,36,30,19.4,692,1000,100,38,650
2024-01-03 13:30:26.885,C2400008,37,30,19.4,692,1000,100,38,650
2024-01-03 13:30:29.881,C2400008,38,30,19.4,692,1000,100,38,650
2024-01-03 13:30:31.387,C2400008,39,30,19.4,692,1000,100,38,650
2024-01-03 13:38:20.648,C2400009,1,250,241.1,1687,1000,100,82,1154
2024-01-03 13:38:24.020,C2400009,2,250,241.2,1712,1000,100,83,1670
2024-01-03 13:38:26.776,C2400009,3,250,241.1,1694,1000,100,82,1153
2024-01-03 13:38:30.006,C2400009,4,250,241.2,1717,1000,100,83,1670
2024-01-03 13:38:32.784,C2400009,5,250,241.1,1697,1000,100,82,1154
2024-01-03 13:38:36.028,C2400009,6,250,241.2,1719,1000,100,83,1670
2024-01-03 13:38:42.036,C2400009,7,250,241.1,1695,1000,100,82,1153
2024-01-03 13:38:45.430,C2400009,8,250,241.2,1719,1000,100,83,1670
2024-01-03 13:38:48.277,C2400009,9,250,241.1,1699,1000,100,82,1154
2024-01-03 13:38:51.531,C2400009,10,250,241.2,1722,1000,100,83,1670
2024-01-03 13:38:54.365,C2400009,11,250,241.1,1700,1000,100,82,1154
2024-01-03 13:38:57.617,C2400009,12,250,241.2,1723,1000,100,83,1670
2024-01-03 13:39:02.263,C2400009,13,30,19.4,692,1000,100,38,650
2024-01-03 13:39:03.995,C2400009,14,30,19.4,691,1000,100,38,650
2024-01-03 13:39:06.899,C2400009,15,30,19.4,691,1000,100,38,650
2024-01-03 13:39:10.229,C2400009,16,30,19.4,691,1000,100,38,650
2024-01-03 13:39:12.005,C2400009,17,30,19.4,691,1000,100,38,650
2024-01-03 13:39:13.711,C2400009,18,30,19.4,691,1000,100,38,650
2024-01-03 13:39:34.637,C2400009,19,250,241.1,1714,1000,100,83,1670
2024-01-03 13:39:37.435,C2400009,20,250,241.2,1697,1000,100,82,1154
2024-01-03 13:39:40.899,C2400009,21,250,241.1,1719,1000,100,83,1670
2024-01-03 13:39:43.481,C2400009,22,250,241.2,1699,1000,100,82,1154
2024-01-03 13:39:46.929,C2400009,23,250,241.1,1722,1000,100,83,1670
2024-01-03 13:39:49.575,C2400009,24,250,241.2,1702,1000,100,82,1154
2024-01-03 13:39:56.177,C2400009,25,250,241.1,1721,1000,100,83,1670
2024-01-03 13:39:58.935,C2400009,26,250,241.2,1700,1000,100,82,1154
2024-01-03 13:40:02.469,C2400009,27,250,241.1,1723,1000,100,83,1670
2024-01-03 13:40:05.189,C2400009,28,250,241.2,1703,1000,100,82,1154
2024-01-03 13:40:08.643,C2400009,29,250,241.1,1724,1000,100,83,1670
2024-01-03 13:40:11.257,C2400009,30,250,241.2,1704,1000,100,82,1154
2024-01-03 13:40:15.893,C2400009,31,30,19.4,692,1000,100,38,650
2024-01-03 13:40:17.341,C2400009,32,30,19.4,691,1000,100,38,650
