EVT_ID,EVT_DT,EVT_TYPE,PLANT_CD,BEF_VAL,AFT_VAL
EVT-2024-0033,2024-02-18 23:39,조업률변경,SP1,93%,91%
EVT-2024-0034,2024-02-19 03:51,강종변경,CR1,SPCEN,SPCD
EVT-2024-0035,2024-02-20 23:19,원료배합변경,BF1,AUS45:BRA55,AUS50:BRA50
EVT-2024-0036,2024-02-22 04:04,원료배합변경,BF1,AUS55:BRA45,AUS45:BRA55
EVT-2024-0037,2024-02-22 15:42,강종변경,CR1,SPCD,SGCC
EVT-2024-0038,2024-02-25 15:59,강종변경,CR1,SGCC,SPCD
EVT-2024-0039,2024-02-25 22:40,조업률변경,BF2,89%,83%
EVT-2024-0040,2024-02-27 10:30,조업률변경,BF1,100%,98%
EVT-2024-0041,2024-02-28 06:51,강종변경,CR1,SPCD,SPHC
EVT-2024-0042,2024-02-29 02:47,조업률변경,SP1,95%,93%
EVT-2024-0043,2024-03-01 15:07,조업률변경,BF2,81%,77%
EVT-2024-0044,2024-03-02 10:09,강종변경,CR1,SPHC,SPCE
EVT-2024-0045,2024-03-03 04:41,조업률변경,BF1,98%,94%
EVT-2024-0046,2024-03-04 06:30,강종변경,CR1,SPCE,SPCC
EVT-2024-0047,2024-03-04 14:10,조업률변경,SP2,89%,86%
EVT-2024-0048,2024-03-04 22:40,조업률변경,SP1,92%,89%
EVT-2024-0049,2024-03-07 03:31,원료배합변경,BF2,AUS60:BRA40,AUS45:BRA55
EVT-2024-0050,2024-03-07 15:06,조업률변경,BF1,100%,98%
EVT-2024-0051,2024-03-07 21:22,강종변경,CR1,SPCC,SPFH590
EVT-2024-0052,2024-03-09 01:02,조업률변경,SP1,94%,92%
EVT-2024-0053,2024-03-09 14:02,강종변경,CR1,SPFH590,SPCEN
EVT-2024-0054,2024-03-12 06:01,강종변경,CR1,SPCEN,SGCC
EVT-2024-0055,2024-03-15 23:08,강종변경,CR1,SGCC,SPFH590
EVT-2024-0056,2024-03-17 10:18,조업률변경,BF1,94%,100%
EVT-2024-0057,2024-03-18 05:08,강종변경,CR1,SPFH590,SPCC
EVT-2024-0058,2024-03-20 07:55,조업률변경,SP1,89%,94%
EVT-2024-0059,2024-03-20 14:48,강종변경,CR1,SPCC,SPCE
EVT-2024-0060,2024-03-21 06:16,조업률변경,BF2,83%,81%
EVT-2024-0061,2024-03-22 01:16,강종변경,CR1,SPCE,SGCC
EVT-2024-0062,2024-03-23 07:39,원료배합변경,BF1,AUS50:BRA50,AUS45:BRA55
EVT-2024-0063,2024-03-23 13:43,조업률변경,BF2,77%,70%
EVT-2024-0064,2024-03-24 15:59,조업률변경,SP2,91%,89%
EVT-2024-0065,2024-03-25 06:40,조업률변경,BF1,100%,93%
EVT-2024-0066,2024-03-25 06:46,강종변경,CR1,SGCC,SPCC
EVT-2024-0067,2024-03-28 06:12,강종변경,CR1,SPCC,SPHC
EVT-2024-0068,2024-03-30 07:09,강종변경,CR1,SPHC,SPCD
EVT-2024-0069,2024-04-02 02:30,강종변경,CR1,SPCD,SPCEN
EVT-2024-0070,2024-04-06 15:07,조업률변경,BF1,93%,99%
EVT-2024-0071,2024-04-06 22:39,강종변경,CR1,SPCEN,SGCC
EVT-2024-0072,2024-04-07 06:45,조업률변경,SP1,94%,99%
EVT-2024-0073,2024-04-08 07:38,원료배합변경,BF1,AUS60:BRA40,AUS50:BRA50
EVT-2024-0074,2024-04-09 21:59,강종변경,CR1,SGCC,SPCC
EVT-2024-0075,2024-04-10 04:31,원료배합변경,BF1,AUS45:BRA55,AUS60:BRA40
EVT-2024-0076,2024-04-12 02:12,조업률변경,BF2,70%,72%
EVT-2024-0077,2024-04-13 23:16,강종변경,CR1,SPCC,SPCE
EVT-2024-0078,2024-04-16 11:35,강종변경,CR1,SPCE,SPCEN
EVT-2024-0079,2024-04-19 06:38,강종변경,CR1,SPCEN,SPCD
EVT-2024-0080,2024-04-21 18:18,강종변경,CR1,SPCD,DP590
EVT-2024-0081,2024-04-24 06:32,조업률변경,BF2,72%,74%
EVT-2024-0082,2024-04-25 15:12,조업률변경,BF2,74%,73%
EVT-2024-0083,2024-04-25 23:47,강종변경,CR1,DP590,SPCE
EVT-2024-0084,2024-04-26 02:06,조업률변경,BF1,99%,100%
EVT-2024-0085,2024-04-27 07:40,강종변경,CR1,SPCE,DP590
EVT-2024-0086,2024-04-27 07:50,조업률변경,BF1,100%,98%
EVT-2024-0087,2024-04-28 23:57,조업률변경,SP1,99%,97%
EVT-2024-0088,2024-04-30 23:25,강종변경,CR1,DP590,SPFH590
EVT-2024-0089,2024-05-01 16:21,조업률변경,BF2,75%,79%
EVT-2024-0090,2024-05-02 07:43,원료배합변경,BF1,AUS50:BRA50,AUS45:BRA55
EVT-2024-0091,2024-05-03 18:50,강종변경,CR1,SPFH590,SPHC
EVT-2024-0092,2024-05-06 01:59,강종변경,CR1,SPHC,SPFH590
EVT-2024-0093,2024-05-08 19:45,강종변경,CR1,SPFH590,SPHC
EVT-2024-0094,2024-05-10 04:40,조업률변경,BF1,98%,99%
EVT-2024-0095,2024-05-10 22:32,강종변경,CR1,SPHC,SPCE
EVT-2024-0096,2024-05-11 06:06,조업률변경,SP1,97%,98%
EVT-2024-0097,2024-05-11 15:09,조업률변경,BF2,79%,78%
EVT-2024-0098,2024-05-13 06:09,조업률변경,SP2,88%,87%
EVT-2024-0099,2024-05-13 06:57,강종변경,CR1,SPCE,SPCC
EVT-2024-0100,2024-05-16 06:42,강종변경,CR1,SPCC,SPHC
EVT-2024-0101,2024-05-19 06:30,강종변경,CR1,SPHC,SGCC
EVT-2024-0102,2024-05-21 12:12,강종변경,CR1,SGCC,SPCE
EVT-2024-0103,2024-05-22 12:38,조업률변경,BF2,73%,75%
EVT-2024-0104,2024-05-22 19:37,원료배합변경,BF2,AUS45:BRA55,AUS60:BRA40
EVT-2024-0105,2024-05-23 18:04,조업률변경,BF1,99%,100%
EVT-2024-0106,2024-05-24 01:18,강종변경,CR1,SPCE,SPFH590
EVT-2024-0107,2024-05-24 14:03,조업률변경,SP2,86%,88%
EVT-2024-0108,2024-05-25 06:09,조업률변경,BF2,78%,75%
EVT-2024-0109,2024-05-25 22:29,조업률변경,SP1,98%,99%
EVT-2024-0110,2024-05-27 07:57,강종변경,CR1,SPFH590,SPCEN
EVT-2024-0111,2024-05-28 23:38,조업률변경,SP2,87%,85%
EVT-2024-0112,2024-05-29 21:18,강종변경,CR1,SPCEN,SPFH590
EVT-2024-0113,2024-06-01 13:38,원료배합변경,BF2,AUS60:BRA40,AUS65:BRA35
EVT-2024-0114,2024-06-02 07:12,강종변경,CR1,SPFH590,SPCD
EVT-2024-0115,2024-06-04 22:23,강종변경,CR1,SPCD,SPCE
EVT-2024-0116,2024-06-06 22:20,강종변경,CR1,SPCE,SGCC
EVT-2024-0117,2024-06-09 05:26,강종변경,CR1,SGCC,DP590
EVT-2024-0118,2024-06-10 02:59,원료배합변경,BF1,AUS45:BRA55,AUS65:BRA35
EVT-2024-0119,2024-06-10 10:27,조업률변경,BF2,75%,79%
EVT-2024-0120,2024-06-11 08:00,강종변경,CR1,DP590,SPCC
EVT-2024-0121,2024-06-13 10:34,강종변경,CR1,SPCC,DP590
EVT-2024-0122,2024-06-15 01:04,강종변경,CR1,DP590,SPHC
EVT-2024-0123,2024-06-18 00:24,강종변경,CR1,SPHC,SPCEN
EVT-2024-0124,2024-06-20 02:50,조업률변경,BF2,79%,78%
EVT-2024-0125,2024-06-20 06:55,강종변경,CR1,SPCEN,SPCE
EVT-2024-0126,2024-06-20 23:45,조업률변경,BF1,99%,100%
EVT-2024-0127,2024-06-23 07:24,조업률변경,BF1,100%,99%
EVT-2024-0128,2024-06-23 10:48,조업률변경,SP1,99%,100%
EVT-2024-0129,2024-06-23 14:53,조업률변경,SP2,85%,84%
EVT-2024-0130,2024-06-23 15:16,강종변경,CR1,SPCE,SPHC
EVT-2024-0131,2024-06-26 20:56,강종변경,CR1,SPHC,SPCEN
EVT-2024-0132,2024-06-29 14:00,강종변경,CR1,SPCEN,SPCC
EVT-2024-0133,2024-07-01 13:24,강종변경,CR1,SPCC,SPCE
EVT-2024-0134,2024-07-04 02:33,강종변경,CR1,SPCE,SPCEN
EVT-2024-0135,2024-07-07 16:57,강종변경,CR1,SPCEN,SPHC
EVT-2024-0136,2024-07-10 03:33,강종변경,CR1,SPHC,DP590
EVT-2024-0137,2024-07-13 00:13,강종변경,CR1,DP590,SPCD
EVT-2024-0138,2024-07-15 05:12,조업률변경,BF1,100%,92%
EVT-2024-0139,2024-07-16 06:51,강종변경,CR1,SPCD,SPHC
EVT-2024-0140,2024-07-19 02:35,조업률변경,BF1,92%,86%
EVT-2024-0141,2024-07-19 04:48,강종변경,CR1,SPHC,SPCC
EVT-2024-0142,2024-07-21 17:27,강종변경,CR1,SPCC,SPCE
EVT-2024-0143,2024-07-22 00:32,조업률변경,SP1,100%,95%
EVT-2024-0144,2024-07-24 06:59,강종변경,CR1,SPCE,DP590
EVT-2024-0145,2024-07-26 22:56,조업률변경,BF2,85%,93%
EVT-2024-0146,2024-07-27 08:20,조업률변경,BF2,78%,85%
EVT-2024-0147,2024-07-27 10:01,조업률변경,BF1,86%,90%
EVT-2024-0148,2024-07-27 22:39,강종변경,CR1,DP590,SPCD
EVT-2024-0149,2024-07-27 23:23,원료배합변경,BF2,AUS65:BRA35,AUS60:BRA40
EVT-2024-0150,2024-07-28 05:30,조업률변경,SP2,84%,90%
EVT-2024-0151,2024-07-29 13:35,강종변경,CR1,SPCD,SPCE
EVT-2024-0152,2024-07-31 02:15,강종변경,CR1,SPCE,SPCD
EVT-2024-0153,2024-08-01 10:58,원료배합변경,BF2,AUS60:BRA40,AUS45:BRA55
EVT-2024-0154,2024-08-04 05:45,원료배합변경,BF2,AUS45:BRA55,AUS55:BRA45
EVT-2024-0155,2024-08-04 14:55,강종변경,CR1,SPCD,SPHC
EVT-2024-0156,2024-08-07 02:23,조업률변경,BF2,93%,90%
EVT-2024-0157,2024-08-07 14:30,강종변경,CR1,SPHC,SPFH590
EVT-2024-0158,2024-08-10 00:08,조업률변경,SP2,90%,88%
EVT-2024-0159,2024-08-10 15:25,강종변경,CR1,SPFH590,SGCC
EVT-2024-0160,2024-08-12 02:21,강종변경,CR1,SGCC,SPCE
EVT-2024-0161,2024-08-12 09:37,조업률변경,BF2,90%,93%
EVT-2024-0162,2024-08-13 09:38,조업률변경,SP2,88%,90%
EVT-2024-0163,2024-08-14 12:05,강종변경,CR1,SPCE,SPHC
EVT-2024-0164,2024-08-18 00:44,강종변경,CR1,SPHC,SPCE
EVT-2024-0165,2024-08-19 18:56,조업률변경,BF1,90%,93%
EVT-2024-0166,2024-08-21 23:26,강종변경,CR1,SPCE,DP590
EVT-2024-0167,2024-08-22 18:18,조업률변경,SP1,95%,97%
EVT-2024-0168,2024-08-24 02:48,강종변경,CR1,DP590,SPCC
EVT-2024-0169,2024-08-26 07:02,강종변경,CR1,SPCC,DP590
EVT-2024-0170,2024-08-27 06:16,조업률변경,BF1,93%,94%
EVT-2024-0171,2024-08-30 11:02,강종변경,CR1,DP590,SPCC
EVT-2024-0172,2024-09-01 23:38,강종변경,CR1,SPCC,SPCE
EVT-2024-0173,2024-09-04 12:46,강종변경,CR1,SPCE,SPFH590
EVT-2024-0174,2024-09-08 22:03,강종변경,CR1,SPFH590,SPHC
EVT-2024-0175,2024-09-11 11:15,조업률변경,BF1,93%,90%
EVT-2024-0176,2024-09-11 16:40,강종변경,CR1,SPHC,SGCC
EVT-2024-0177,2024-09-12 15:15,조업률변경,BF2,91%,97%
EVT-2024-0178,2024-09-13 09:09,강종변경,CR1,SGCC,SPCC
EVT-2024-0179,2024-09-15 06:25,강종변경,CR1,SPCC,SPHC
EVT-2024-0180,2024-09-15 18:48,조업률변경,SP2,90%,95%
EVT-2024-0181,2024-09-16 15:25,조업률변경,BF2,93%,91%
EVT-2024-0182,2024-09-18 13:58,강종변경,CR1,SPHC,SPCEN
EVT-2024-0183,2024-09-18 16:18,조업률변경,BF1,94%,93%
EVT-2024-0184,2024-09-18 19:57,조업률변경,BF2,97%,90%
EVT-2024-0185,2024-09-20 07:39,강종변경,CR1,SPCEN,DP590
EVT-2024-0186,2024-09-20 20:09,조업률변경,BF2,90%,96%
EVT-2024-0187,2024-09-21 06:38,조업률변경,SP2,95%,89%
EVT-2024-0188,2024-09-21 10:10,조업률변경,SP1,97%,96%
EVT-2024-0189,2024-09-21 15:13,조업률변경,SP2,89%,94%
EVT-2024-0190,2024-09-22 23:47,강종변경,CR1,DP590,SPCD
EVT-2024-0191,2024-09-25 05:43,강종변경,CR1,SPCD,SPHC
EVT-2024-0192,2024-09-25 21:51,원료배합변경,BF1,AUS65:BRA35,AUS50:BRA50
EVT-2024-0193,2024-09-27 23:52,강종변경,CR1,SPHC,SPCC
EVT-2024-0194,2024-09-30 19:30,강종변경,CR1,SPCC,SPCD
EVT-2024-0195,2024-10-02 02:52,조업률변경,BF2,96%,93%
EVT-2024-0196,2024-10-02 16:52,강종변경,CR1,SPCD,SPFH590
EVT-2024-0197,2024-10-04 22:58,강종변경,CR1,SPFH590,SPHC
EVT-2024-0198,2024-10-07 01:42,강종변경,CR1,SPHC,SPCEN
EVT-2024-0199,2024-10-08 19:11,조업률변경,BF2,93%,92%
EVT-2024-0200,2024-10-09 09:26,조업률변경,SP2,94%,93%
EVT-2024-0201,2024-10-09 17:27,강종변경,CR1,SPCEN,SPCC
EVT-2024-0202,2024-10-10 14:54,조업률변경,BF1,90%,91%
EVT-2024-0203,2024-10-11 17:43,강종변경,CR1,SPCC,SPCE
EVT-2024-0204,2024-10-12 01:53,조업률변경,BF1,94%,86%
EVT-2024-0205,2024-10-13 07:42,조업률변경,SP1,96%,97%
EVT-2024-0206,2024-10-13 14:38,조업률변경,SP1,99%,93%
EVT-2024-0207,2024-10-14 06:46,강종변경,CR1,SPCE,SPCC
EVT-2024-0208,2024-10-16 09:14,강종변경,CR1,SPCC,SPCE
EVT-2024-0209,2024-10-17 17:51,조업률변경,BF1,91%,94%
EVT-2024-0210,2024-10-18 04:05,강종변경,CR1,SPCE,SPFH590
EVT-2024-0211,2024-10-19 08:51,조업률변경,SP1,97%,99%
EVT-2024-0212,2024-10-21 05:41,강종변경,CR1,SPFH590,DP590
EVT-2024-0213,2024-10-23 23:36,강종변경,CR1,DP590,SGCC
EVT-2024-0214,2024-10-25 09:10,조업률변경,BF1,86%,92%
EVT-2024-0215,2024-10-26 09:05,조업률변경,SP1,93%,98%
EVT-2024-0216,2024-10-27 03:45,강종변경,CR1,SGCC,SPCEN
EVT-2024-0217,2024-10-27 23:19,원료배합변경,BF1,AUS50:BRA50,AUS45:BRA55
EVT-2024-0218,2024-10-29 03:17,강종변경,CR1,SPCEN,SPCE
EVT-2024-0219,2024-10-31 07:26,강종변경,CR1,SPCE,SPHC
EVT-2024-0220,2024-11-04 15:40,강종변경,CR1,SPHC,SPCEN
EVT-2024-0221,2024-11-05 07:20,조업률변경,BF1,81%,77%
EVT-2024-0222,2024-11-05 23:22,원료배합변경,BF2,AUS55:BRA45,AUS60:BRA40
EVT-2024-0223,2024-11-07 14:08,강종변경,CR1,SPCEN,SPCE
EVT-2024-0224,2024-11-09 15:33,조업률변경,BF2,98%,94%
EVT-2024-0225,2024-11-09 23:46,조업률변경,BF2,94%,88%
EVT-2024-0226,2024-11-10 17:02,강종변경,CR1,SPCE,SPFH590
EVT-2024-0227,2024-11-11 23:13,조업률변경,BF1,92%,85%
EVT-2024-0228,2024-11-12 21:08,조업률변경,SP2,93%,88%
EVT-2024-0229,2024-11-13 07:08,강종변경,CR1,SPFH590,SPCD
EVT-2024-0230,2024-11-15 11:03,강종변경,CR1,SPCD,SPCE
EVT-2024-0231,2024-11-18 09:49,원료배합변경,BF1,AUS45:BRA55,AUS65:BRA35
EVT-2024-0232,2024-11-18 22:51,강종변경,CR1,SPCE,SGCC
EVT-2024-0233,2024-11-20 23:55,조업률변경,BF2,88%,93%
EVT-2024-0234,2024-11-21 08:22,강종변경,CR1,SGCC,SPCD
EVT-2024-0235,2024-11-21 14:49,조업률변경,BF1,77%,81%
EVT-2024-0236,2024-11-22 02:55,조업률변경,BF2,92%,98%
EVT-2024-0237,2024-11-22 17:40,조업률변경,SP1,95%,98%
EVT-2024-0238,2024-11-24 07:31,강종변경,CR1,SPCD,SPCE
EVT-2024-0239,2024-11-26 00:25,강종변경,CR1,SPCE,SGCC
EVT-2024-0240,2024-11-27 22:24,조업률변경,BF1,85%,81%
EVT-2024-0241,2024-11-28 22:26,조업률변경,SP1,98%,95%
EVT-2024-0242,2024-11-29 04:50,강종변경,CR1,SGCC,SPCD
EVT-2024-0243,2024-12-01 20:16,조업률변경,BF2,90%,82%
EVT-2024-0244,2024-12-02 13:39,조업률변경,SP2,86%,80%
EVT-2024-0245,2024-12-02 23:56,강종변경,CR1,SPCD,DP590
EVT-2024-0246,2024-12-05 04:29,강종변경,CR1,DP590,SPFH590
EVT-2024-0247,2024-12-08 02:31,강종변경,CR1,SPFH590,SPCC
EVT-2024-0248,2024-12-08 22:07,조업률변경,BF1,81%,85%
EVT-2024-0249,2024-12-09 16:13,원료배합변경,BF1,AUS65:BRA35,AUS55:BRA45
EVT-2024-0250,2024-12-10 05:00,강종변경,CR1,SPCC,SPHC
EVT-2024-0251,2024-12-10 22:47,조업률변경,SP1,98%,100%
EVT-2024-0252,2024-12-12 16:04,원료배합변경,BF1,AUS55:BRA45,AUS65:BRA35
EVT-2024-0253,2024-12-13 04:31,조업률변경,BF2,93%,90%
EVT-2024-0254,2024-12-13 15:07,강종변경,CR1,SPHC,SPCE
EVT-2024-0255,2024-12-16 01:45,조업률변경,SP2,88%,86%
EVT-2024-0256,2024-12-17 13:18,강종변경,CR1,SPCE,DP590
EVT-2024-0257,2024-12-19 07:16,조업률변경,BF1,93%,98%
EVT-2024-0258,2024-12-19 17:46,강종변경,CR1,DP590,SPFH590
EVT-2024-0259,2024-12-23 18:36,강종변경,CR1,SPFH590,SPCD
EVT-2024-0260,2024-12-24 07:25,조업률변경,BF1,85%,93%
EVT-2024-0261,2024-12-26 16:22,강종변경,CR1,SPCD,SPCC
EVT-2024-0262,2024-12-28 14:57,강종변경,CR1,SPCC,SPCE
EVT-2024-0263,2024-12-31 20:15,강종변경,CR1,SPCE,SPHC
