EQP_TAG,EQP_NM,PARENT_TAG,PLANT_CD,EQP_TYPE,MAKER,INSTALL_DT,RATED_KW,RATED_RPM,CRIT_LVL,CBM_TGT_YN,DATA_AVL_YN
P1-SM1-RHD01,RH 탈가스설비,P1-SM1,SM1,탈가스설비,한성 전기,2006-04-15,630,1780,B,N,N
P1-SM1-CRN01,장입 크레인 1호기,P1-SM1,SM1,크레인,대한중공업,1999-11-11,400,1200,B,N,N
P1-SM1-CRN02,장입 크레인 2호기,P1-SM1,SM1,크레인,신영정공주식회사,2007-11-22,400,1200,B,N,N
P1-SM1-DCF01,전로 집진기,P1-SM1,SM1,집진기,대한중공업,1994-06-17,2200,990,B,N,N
P1-SP1,제1소결공장,,SP1,라인,,1988-01-01,,,A,N,N
P1-SP1-SNM01,소결기,P1-SP1,SP1,소결기,동성기계,1994-02-01,300,60,A,N,N
P1-SP1-IGF01,점화로,P1-SP1,SP1,점화로,대한중공업,1992-07-29,,,B,N,N
P1-SP1-EXF01,메인 배풍기,P1-SP1,SP1,원심팬,신영정공주식회사,1991-06-06,7500,750,A,Y,Y
P1-SP1-EXF01-MTR,메인 배풍기 구동 전동기,P1-SP1-EXF01,SP1,모터,한성전기,1991-06-06,7500,750,A,Y,N
P1-SP1-AGT01,집진 슬러리 교반기,P1-SP1,SP1,교반기,우진메탈텍,1994-06-21,22,1450,B,Y,Y
P1-SP1-AGT01-MTR,집진 슬러리 교반기 구동 전동기,P1-SP1-AGT01,SP1,모터,우진메탈텍(주),1994-06-21,22,1450,B,Y,N
P1-SP1-MIX01,원료 혼합기 1호기,P1-SP1,SP1,혼합기,태평양엔지니어링,1998-03-01,160,15,B,N,N
P1-SP1-MIX02,원료 혼합기 2호기,P1-SP1,SP1,혼합기,신영정공,1990-08-06,160,15,B,N,N
P1-SP1-CRS01,소결광 파쇄기,P1-SP1,SP1,파쇄기,대한重工,1995-07-17,250,750,B,Y,N
P1-SP1-SCR01,진동 스크린 1호기,P1-SP1,SP1,스크린,우진메탈텍,1990-05-15,30,900,C,N,N
P1-SP1-SCR02,진동 스크린 2호기,P1-SP1,SP1,스크린,동성기계,1990-12-09,30,900,C,N,N
P1-SP1-CLR01,소결광 냉각기,P1-SP1,SP1,냉각기,한성전기,1990-01-23,400,12,B,N,N
P1-SP1-DCF01,배가스 집진기 1호기,P1-SP1,SP1,집진기,신영정공,,1100,990,B,N,N
P1-SP1-DCF02,배가스 집진기 2호기,P1-SP1,SP1,집진기,우진메탈텍,1999-03-27,1100,990,B,N,N
P1-SP1-BCV01,벨트 컨베이어 1호기,P1-SP1,SP1,컨베이어,우진메탈텍,1995-11-25,75,1450,C,N,N
P1-SP1-BCV02,벨트 컨베이어 2호기,P1-SP1,SP1,컨베이어,태평양엔지니어링,1997-09-04,75,1450,C,N,N
P1-SP1-BCV03,벨트 컨베이어 3호기,P1-SP1,SP1,컨베이어,신영정공,1994-03-07,75,1450,C,N,N
P1-SP1-BCV04,벨트 컨베이어 4호기,P1-SP1,SP1,컨베이어,신영정공,1998-12-22,75,1450,C,N,N
P1-SP2,제2소결공장,,SP2,라인,,1998-01-01,,,A,N,N
P1-SP2-SNM01,소결기,P1-SP2,SP2,소결기,신영정공,2009-05-07,355,60,A,N,N
P1-SP2-IGF01,점화로,P1-SP2,SP2,점화로,우진메탈텍,2001-06-06,,,B,N,N
P1-SP2-EXF01,메인 배풍기,P1-SP2,SP2,원심팬,동성기계,2001-08-27,8200,750,A,Y,Y
P1-SP2-EXF01-MTR,메인 배풍기 구동 전동기,P1-SP2-EXF01,SP2,모터,태평양ENG,2001-08-27,8200,750,A,Y,N
P1-SP2-AGT01,집진 슬러리 교반기,P1-SP2,SP2,교반기,우진메탈텍,2002-10-19,22,1450,B,Y,Y
P1-SP2-AGT01-MTR,집진 슬러리 교반기 구동 전동기,P1-SP2-AGT01,SP2,모터,태평양엔지니어링,2002-10-19,22,1450,B,Y,N
P1-SP2-MIX01,원료 혼합기 1호기,P1-SP2,SP2,혼합기,동성기계,2006-03-21,160,15,B,N,N
P1-SP2-MIX02,원료 혼합기 2호기,P1-SP2,SP2,혼합기,태평양엔지니어링,2006-11-30,160,15,B,N,N
P1-SP2-CRS01,소결광 파쇄기,P1-SP2,SP2,파쇄기,우진 메탈텍,1998-06-02,250,750,B,Y,N
P1-SP2-SCR01,진동 스크린 1호기,P1-SP2,SP2,스크린,대한중공업,1999-01-25,37,900,C,N,N
P1-SP2-SCR02,진동 스크린 2호기,P1-SP2,SP2,스크린,동성기계,1999-09-15,37,900,C,N,N
P1-SP2-CLR01,소결광 냉각기,P1-SP2,SP2,냉각기,한성전기,2002-01-08,450,12,B,N,N
P1-SP2-DCF01,배가스 집진기 1호기,P1-SP2,SP2,집진기,태평양엔지니어링(주),,1250,990,B,N,N
P1-SP2-DCF02,배가스 집진기 2호기,P1-SP2,SP2,집진기,태평양엔지니어링,2008-03-20,1250,990,B,N,N
P1-SP2-BCV01,벨트 컨베이어 1호기,P1-SP2,SP2,컨베이어,태평양엔지니어링(주),2001-10-02,75,1450,C,N,N
P1-SP2-BCV02,벨트 컨베이어 2호기,P1-SP2,SP2,컨베이어,대한중공업,2010-08-25,75,1450,C,N,N
P1-SP2-BCV03,벨트 컨베이어 3호기,P1-SP2,SP2,컨베이어,한성 전기,2001-07-21,75,1450,C,N,N
P1-SP2-BCV04,벨트 컨베이어 4호기,P1-SP2,SP2,컨베이어,신영정공,2008-09-29,75,1450,C,N,N
P1-CC1,제1연주공장,,CC1,라인,,1992-01-01,,,A,N,N
P1-CC1-LDT01,래들 터렛,P1-CC1,CC1,터렛,신영정공,2001-03-29,55,1450,A,N,N
P1-CC1-TUN01,턴디쉬 카,P1-CC1,CC1,대차,태평양엔지니어링,1996-03-13,30,1450,B,N,N
P1-CC1-MLD01,몰드,P1-CC1,CC1,몰드,우진메탈텍,2000-08-12,,,A,N,N
P1-CC1-EMS01,전자 교반장치,P1-CC1,CC1,전자교반,태평양엔지니어링,2004-12-23,200,,B,N,N
P1-CC1-SEG01,가이드롤 세그먼트 1호기,P1-CC1,CC1,세그먼트,동성기계,2001-05-31,,,B,N,N
P1-CC1-SEG02,가이드롤 세그먼트 2호기,P1-CC1,CC1,세그먼트,대한중공업,1997-05-14,,,B,N,N
P1-CC1-SEG03,가이드롤 세그먼트 3호기,P1-CC1,CC1,세그먼트,우진 메탈텍,2000-11-11,,,B,N,N
P1-CC1-SEG04,가이드롤 세그먼트 4호기,P1-CC1,CC1,세그먼트,태평양엔지니어링,2002-07-22,,,B,N,N
P1-CC1-SCC01,슬라브 절단기,P1-CC1,CC1,절단기,대한중공업,2000-02-24,90,1450,B,N,N
P1-CC1-INS01,주편 검사설비,P1-CC1,CC1,검사장치,태평양엔지니어링,1997-12-31,5,,A,Y,Y
P1-CC1-PMP01,유압 펌프 1호기,P1-CC1,CC1,펌프,태평양엔지니어링,2002-12-05,132,1780,B,Y,N
P1-CC1-PMP02,유압 펌프 2호기,P1-CC1,CC1,펌프,대한중공업,1998-01-14,132,1780,B,N,N
P1-CC2,제2연주공장,,CC2,라인,,2001-01-01,,,A,N,N
P1-CC2-LDT01,래들 터렛,P1-CC2,CC2,터렛,태평양엔지니어링,2004-10-19,55,1450,A,N,N
P1-CC2-TUN01,턴디쉬 카,P1-CC2,CC2,대차,한성전기,2003-03-05,30,1450,B,N,N
P1-CC2-MLD01,몰드,P1-CC2,CC2,몰드,태평양엔지니어링,2003-02-03,,,A,N,N
P1-CC2-EMS01,전자 교반장치,P1-CC2,CC2,전자교반,동성기계,2012-09-09,220,,B,N,N
P1-CC2-SEG01,가이드롤 세그먼트 1호기,P1-CC2,CC2,세그먼트,태평양엔지니어링,2012-09-22,,,B,N,N
P1-CC2-SEG02,가이드롤 세그먼트 2호기,P1-CC2,CC2,세그먼트,태평양엔지니어링,,,,B,N,N
P1-CC2-SEG03,가이드롤 세그먼트 3호기,P1-CC2,CC2,세그먼트,신영정공주식회사,2008-09-21,,,B,N,N
P1-CC2-SEG04,가이드롤 세그먼트 4호기,P1-CC2,CC2,세그먼트,동성기계,2008-07-28,,,B,N,N
P1-CC2-SCC01,슬라브 절단기,P1-CC2,CC2,절단기,신영精工,2012-12-27,90,1450,B,N,N
P1-CC2-INS01,주편 검사설비,P1-CC2,CC2,검사장치,한성전기,2009-10-27,5,,A,Y,Y
P1-CC2-PMP01,유압 펌프 1호기,P1-CC2,CC2,펌프,동성기계,2009-04-15,160,1780,B,Y,N
P1-CC2-PMP02,유압 펌프 2호기,P1-CC2,CC2,펌프,한성전기,2007-07-06,160,1780,B,N,N
P1-CR1,냉연공장,,CR1,라인,,1996-01-01,,,A,N,N
P1-CR1-PKL01,산세 라인,P1-CR1,CR1,산세설비,우진메탈텍,2012-02-25,,,A,N,N
P1-CR1-TCM01,냉간 압연기,P1-CR1,CR1,압연기,한성전기,1999-09-03,6000,900,A,Y,N
P1-CR1-CAL01,연속 소둔로,P1-CR1,CR1,연속로,동성기계공업,2014-05-31,1200,,A,Y,Y
P1-CR1-SPM01,조질 압연기,P1-CR1,CR1,압연기,신영정공주식회사,2014-02-01,1500,900,A,Y,Y
P1-CR1-SPM01-MTR,조질 압연기 구동 전동기,P1-CR1-SPM01,CR1,모터,대한 중공업,2014-02-01,1500,900,A,Y,N
P1-CR1-WLD01,코일 접합 용접기,P1-CR1,CR1,용접기,태평양엔지니어링,2006-02-01,250,,A,Y,Y
P1-CR1-RCL01,정정 라인,P1-CR1,CR1,정정설비,신영정공,2006-10-16,400,1450,B,N,N
P1-CR1-INS01,표면 검사기,P1-CR1,CR1,검사장치,동성기계,2014-05-19,8,,B,N,N
P1-CR1-PMP01,유압 펌프 1호기,P1-CR1,CR1,펌프,신영정공,2014-03-17,160,1780,B,Y,N
P1-CR1-PMP02,유압 펌프 2호기,P1-CR1,CR1,펌프,한성전기,2008-04-25,160,1780,B,N,N
P1-CR1-PMP03,유압 펌프 3호기,P1-CR1,CR1,펌프,대한중공업,2007-05-13,160,1780,B,N,N
P1-CR1-FAN01,배기 팬 1호기,P1-CR1,CR1,원심팬,신영정공,2006-09-06,200,1450,C,N,N
P1-CR1-FAN02,배기 팬 2호기,P1-CR1,CR1,원심팬,신영정공,2005-11-11,200,1450,C,N,N
P1-CR1-CRN01,코일 크레인,P1-CR1,CR1,크레인,한성전기,2004-05-06,300,1200,B,N,N
P1-CR1-DCF01,라인 집진기,P1-CR1,CR1,집진기,한성전기,2006-06-27,900,990,C,N,N
